MOVIE_TITLE,MOVIE_ID,RELEASE_DATE,RELEASE_YEAR,yt_releaseDate,yt_releaseYear,yt_likes,yt_views,yt_videoTitle,time_trailerToMovie_Days
dracula untold,49017.0,2014-10-01,2014.0,2014-06-28,2014.0,81118.0,17004561.0,dracula untold - official trailer (hd),95.0
something borrowed,49022.0,2011-05-05,2011.0,2011-03-01,2011.0,738.0,388582.0,something borrowed - trailer 2,65.0
the dark knight rises,49026.0,2012-07-16,2012.0,2012-05-01,2012.0,150570.0,36150678.0,the dark knight rises - official trailer #3 [hd],76.0
the bourne legacy,49040.0,2012-08-08,2012.0,2012-06-27,2012.0,787.0,473054.0,the bourne legacy - trailer (hd),42.0
gravity,49047.0,2013-10-03,2013.0,2013-09-04,2013.0,65559.0,20242360.0,gravity - official main trailer [2k hd],29.0
dredd,49049.0,2012-09-07,2012.0,2012-06-22,2012.0,5508.0,4504717.0,dredd 3d (2012) - official trailer #1,77.0
the hobbit: an unexpected journey,49051.0,2012-11-26,2012.0,2012-09-19,2012.0,33613.0,7561849.0,the hobbit: an unexpected journey - official trailer 2 [hd],68.0
the croods,49519.0,2013-03-15,2013.0,2013-03-13,2013.0,2459.0,562654.0,the croods | official trailer 3 | 20th century fox,2.0
the change-up,49520.0,2011-08-05,2011.0,2011-07-28,2011.0,497.0,248494.0,the change-up - restricted trailer #2,8.0
man of steel,49521.0,2013-06-12,2013.0,2013-04-17,2013.0,226481.0,49256861.0,man of steel - official trailer 3 [hd],56.0
r.i.p.d.,49524.0,2013-07-18,2013.0,2013-04-19,2013.0,7298.0,1603979.0,r.i.p.d. - trailer,90.0
premium rush,49526.0,2012-08-24,2012.0,2011-09-15,2011.0,18558.0,5180381.0,premium rush - official trailer - in theaters august 2012,344.0
john carter,49529.0,2012-03-07,2012.0,2011-11-29,2011.0,14431.0,5550529.0,john carter trailer,99.0
in time,49530.0,2011-10-27,2011.0,2011-08-17,2011.0,5824.0,1298758.0,in time | official trailer | 20th century fox,71.0
red riding hood,49730.0,2011-03-11,2011.0,2010-11-16,2010.0,2636.0,840670.0,red riding hood - trailer,115.0
cowboys & aliens,49849.0,2011-07-29,2011.0,2011-02-04,2011.0,830.0,868295.0,universal pictures - cowboys & aliens,175.0
the roommate,49950.0,2011-02-04,2011.0,2011-01-26,2011.0,7828.0,2066530.0,the roommate - trailer,9.0
mars needs moms,50321.0,2011-03-09,2011.0,2010-11-22,2010.0,5602.0,1441597.0,mars needs moms trailer #1,107.0
the lincoln lawyer,50348.0,2011-03-17,2011.0,2011-01-16,2011.0,5263.0,4203529.0,the lincoln lawyer (2011) - official trailer #1,60.0
hop,50359.0,2011-03-30,2011.0,2011-03-21,2011.0,584.0,724539.0,hop - trailer 3,9.0
friends with benefits,50544.0,2011-07-21,2011.0,2011-03-18,2011.0,10423.0,2586809.0,official friends with benefits trailer - in theaters 7/22,125.0
just go with it,50546.0,2011-02-10,2011.0,2010-11-09,2010.0,15700.0,3728820.0,just go with it - trailer,93.0
"crazy, stupid, love.",50646.0,2011-07-29,2011.0,2011-07-19,2011.0,1523.0,852690.0,"""crazy, stupid, love."" - this is love clip",10.0
wanderlust,50647.0,2012-02-23,2012.0,2011-11-02,2011.0,7965.0,4250505.0,wanderlust - trailer,113.0
beyond,51423.0,2010-12-10,2010.0,2010-03-02,2010.0,8877.0,8233270.0,squeak e. clean beyond infinity remix,283.0
fast five,51497.0,2011-04-20,2011.0,2010-12-14,2010.0,6908.0,4217647.0,fast five - teaser trailer,127.0
horrible bosses,51540.0,2011-07-08,2011.0,2011-05-11,2011.0,8789.0,2520172.0,horrible bosses - trailer,58.0
prom,51588.0,2011-04-29,2011.0,2010-11-17,2010.0,6759.0,3583396.0,prom official trailer 1,163.0
bad teacher,52449.0,2011-05-16,2011.0,2011-03-10,2011.0,24118.0,4304652.0,bad teacher - official trailer,67.0
300: rise of an empire,53182.0,2014-03-05,2014.0,2013-06-12,2013.0,63500.0,18572418.0,300: rise of an empire - official trailer 1 [hd],266.0
one for the money,54054.0,2012-01-26,2012.0,2011-09-30,2011.0,2628.0,3116073.0,one for the money (2012) - official trailer #1,118.0
star trek into darkness,54138.0,2013-05-05,2013.0,2013-04-17,2013.0,1506.0,602867.0,star trek into darkness official trailer 2,18.0
alvin and the chipmunks: chipwrecked,55301.0,2011-12-14,2011.0,2011-07-29,2011.0,2043.0,1678495.0,alvin and the chipmunks: chipwrecked | official trailer | 20th century fox,138.0
bridesmaids,55721.0,2011-05-13,2011.0,2011-02-02,2011.0,11483.0,5257833.0,bridesmaids - trailer,100.0
final destination 5,55779.0,2011-08-12,2011.0,2011-05-09,2011.0,5245.0,1913933.0,final destination 5 - trailer,95.0
water for elephants,55787.0,2011-04-15,2011.0,2011-01-18,2011.0,3652.0,1224096.0,water for elephants | trailer | 20th century fox,87.0
jumping the broom,57119.0,2011-05-06,2011.0,2011-03-09,2011.0,707.0,574992.0,jumping the broom - trailer,58.0
young adult,57157.0,2011-11-11,2011.0,2011-10-07,2011.0,700.0,542339.0,"official ""young adult"" trailer- in theaters december",35.0
the hobbit: the desolation of smaug,57158.0,2013-12-11,2013.0,2013-11-06,2013.0,758761.0,116878400.0,"the hobbit: the desolation of smaug - ed sheeran ""i see fire"" [hd]",35.0
wrath of the titans,57165.0,2012-03-28,2012.0,2012-02-24,2012.0,1834.0,264445.0,"wrath of the titans - official trailer ""oblivion"" [hd]",33.0
the lone ranger,57201.0,2013-07-03,2013.0,2013-05-21,2013.0,233.0,1797222.0,"the lone ranger - ""a masked man"" commercial",43.0
project x,57214.0,2012-03-01,2012.0,2012-01-20,2012.0,5135.0,918683.0,project x - official trailer 2 [hd],41.0
african cats,57586.0,2011-04-21,2011.0,2011-04-21,2011.0,9272.0,2294533.0,african cats: chasing a dog - clip,0.0
johnny english reborn,58233.0,2011-09-15,2011.0,2011-07-29,2011.0,1686.0,548624.0,johnny english reborn - trailer,48.0
pride and prejudice and zombies,58431.0,2016-02-04,2016.0,2015-10-22,2015.0,11802.0,5606047.0,pride and prejudice and zombies - official trailer #1 (feb 2016),105.0
sherlock holmes: a game of shadows,58574.0,2011-11-22,2011.0,2011-07-13,2011.0,1376.0,268654.0,sherlock holmes: a game of shadows,132.0
snow white and the huntsman,58595.0,2012-05-30,2012.0,2011-11-14,2011.0,558.0,105566.0,snow white and the huntsman - teaser trailer,198.0
tower heist,59108.0,2011-11-02,2011.0,2011-07-29,2011.0,1024.0,551176.0,tower heist - trailer,96.0
warrior,59440.0,2011-09-09,2011.0,2011-07-11,2011.0,1971.0,8981831.0,warrior (2011) - official trailer #2 - tom hardy,60.0
attack the block,59678.0,2011-05-12,2011.0,2011-06-17,2011.0,7712.0,797492.0,attack the block  - official restricted trailer,-36.0
kick-ass 2,59859.0,2013-07-17,2013.0,2013-04-05,2013.0,661.0,150234.0,kick-ass 2 - trailer,103.0
larry crowne,59861.0,2011-06-30,2011.0,2011-03-21,2011.0,423.0,278833.0,larry crowne - trailer,101.0
safe house,59961.0,2012-02-08,2012.0,2011-11-07,2011.0,514.0,175856.0,safe house - trailer,93.0
this means war,59962.0,2012-02-14,2012.0,2012-05-09,2012.0,553.0,147282.0,"this means war trailer | out on blu-ray, dvd and digital download may 22 | 20th century fox",-85.0
abduction,59965.0,2011-09-22,2011.0,2011-04-15,2011.0,27073.0,8353942.0,abduction (2011 movie) - official trailer - taylor lautner),160.0
looper,59967.0,2012-09-26,2012.0,2012-06-28,2012.0,27282.0,10095583.0,looper - official trailer (hd),90.0
hansel & gretel: witch hunters,60304.0,2013-01-17,2013.0,2012-09-05,2012.0,4298.0,1612093.0,hansel & gretel: witch hunters official movie trailer,134.0
moneyball,60308.0,2011-09-23,2011.0,2011-06-16,2011.0,1335.0,508489.0,moneyball - watch the official trailer - in theaters 9/23,99.0
like crazy,60420.0,2011-10-28,2011.0,2011-11-07,2011.0,699.0,382025.0,"i need you, i want you, i love you, i miss you- click titles to watch like crazy montages",-10.0
the thing,60935.0,2011-10-12,2011.0,2011-09-28,2011.0,2001.0,485309.0,the thing - trailer,14.0
anonymous,61891.0,2011-10-21,2011.0,2011-04-07,2011.0,10158.0,4908651.0,anonymous - trailer,197.0
brave,62177.0,2012-06-21,2012.0,2011-11-16,2011.0,54116.0,21332177.0,brave trailer,218.0
30 minutes or less,62206.0,2011-08-11,2011.0,2011-04-29,2011.0,1509.0,259056.0,30 minutes or less-trailer,104.0
monsters university,62211.0,2013-06-19,2013.0,2012-06-22,2012.0,30068.0,18434510.0,monsters university teaser - clothes,362.0
dark shadows,62213.0,2012-05-09,2012.0,2012-05-09,2012.0,932.0,1361142.0,dark shadows - tim and johnny collaboration,0.0
frankenweenie,62214.0,2012-10-04,2012.0,2012-03-02,2012.0,8276.0,2112448.0,frankenweenie trailer,216.0
the devil's double,62630.0,2011-02-11,2011.0,2011-07-29,2011.0,243.0,55913.0,the devil's double (2011) - 'mirror',-168.0
colombiana,62835.0,2011-07-27,2011.0,2011-05-05,2011.0,25582.0,7465382.0,colombiana - trailer,83.0
dolphin tale,62837.0,2011-09-23,2011.0,2011-04-08,2011.0,1716.0,634693.0,dolphin tale - trailer,168.0
new year's eve,62838.0,2011-12-08,2011.0,2011-07-27,2011.0,652.0,225113.0,new year's eve - teaser trailer,134.0
what's your number?,63492.0,2011-09-30,2011.0,2011-07-05,2011.0,22212.0,3292117.0,what's your number? | official trailer | 20th century fox,87.0
total recall,64635.0,2012-08-02,2012.0,2012-04-01,2012.0,19253.0,7812496.0,total recall - official trailer - in theaters august 3rd,123.0
straw dogs,64639.0,2011-09-16,2011.0,2011-05-13,2011.0,4517.0,2262317.0,straw dogs - trailer,126.0
the great gatsby,64682.0,2013-05-10,2013.0,2013-04-04,2013.0,14693.0,4030046.0,"the great gatsby trailer w/ new music by beyoncé x andré 3000, lana del rey, florence + the machine",36.0
extremely loud & incredibly close,64685.0,2011-12-25,2011.0,2011-09-29,2011.0,1395.0,320567.0,extremely loud & incredibly close - trailer,87.0
47 ronin,64686.0,2013-12-06,2013.0,2013-07-25,2013.0,614.0,130756.0,47 ronin - theatrical trailer,134.0
21 jump street,64688.0,2012-03-14,2012.0,2011-11-01,2011.0,22322.0,4081264.0,21 jump street [2012] - red band trailer,134.0
grudge match,64807.0,2013-12-25,2013.0,2013-09-12,2013.0,17636.0,4899675.0,grudge match - official trailer [hd],104.0
the girl with the dragon tattoo,65754.0,2011-12-14,2011.0,2011-09-20,2011.0,23414.0,6072221.0,the girl with the dragon tattoo - official trailer - in theaters 12/21,85.0
happy feet two,65759.0,2011-11-18,2011.0,2011-05-27,2011.0,2101.0,647183.0,happy feet two - teaser trailer,175.0
ready,65946.0,2011-06-03,2011.0,2010-10-12,2010.0,343.0,83528.0,"secretariat: ""already won"" - clip",234.0
think like a man,67660.0,2012-04-20,2012.0,2011-12-15,2011.0,14201.0,3433662.0,think like a man [2012] - official trailer (hd),127.0
bucky larson: born to be a star,67911.0,2011-09-09,2011.0,2011-06-24,2011.0,2052.0,1020034.0,bucky larson: born to be a star - official trailer - in theaters 9/9!,77.0
the guard,67913.0,2011-07-07,2011.0,2010-09-11,2010.0,529.0,126082.0,legend of the guardians - the owls of ga hoole: music video,299.0
django unchained,68718.0,2012-12-25,2012.0,2012-06-13,2012.0,10345.0,1339124.0,django unchained - official international trailer,195.0
elysium,68724.0,2013-08-07,2013.0,2013-04-09,2013.0,40965.0,12072355.0,elysium - official trailer (hd),120.0
pacific rim,68726.0,2013-07-11,2013.0,2013-05-16,2013.0,88650.0,22837143.0,pacific rim - official main trailer [hd],56.0
oz the great and powerful,68728.0,2013-03-07,2013.0,2012-11-15,2012.0,9447.0,3346936.0,oz the great and powerful trailer 2,112.0
silence,68730.0,2016-12-22,2016.0,2016-11-23,2016.0,36111.0,8108367.0,silence official trailer (2016) - paramount pictures,29.0
argo,68734.0,2012-10-11,2012.0,2012-05-09,2012.0,1244.0,472629.0,argo - official trailer 1 [hd],155.0
seventh son,68737.0,2014-12-12,2014.0,2013-07-11,2013.0,1156.0,127321.0,seventh son - official trailer 1 [hd],519.0
footloose,68817.0,2011-10-06,2011.0,2011-10-06,2011.0,34.0,602961.0,"official ""footloose"" tv spot- in theaters october 14",0.0
va,69502.0,2010-10-05,2010.0,2009-11-09,2009.0,80284.0,12534695.0,avatar | official trailer (hd) | 20th century fox,330.0
dream house,69668.0,2011-09-29,2011.0,2011-07-26,2011.0,3625.0,1310760.0,dream house - trailer,65.0
bullet to the head,70074.0,2013-01-31,2013.0,2012-08-17,2012.0,843.0,304551.0,bullet to the head - official trailer [hd],167.0
the hunger games,70160.0,2012-03-12,2012.0,2011-11-14,2011.0,48523.0,10158978.0,the hunger games (2012 movie) - official theatrical trailer - jennifer lawrence & liam hemsworth,119.0
american reunion,71552.0,2012-04-04,2012.0,2011-09-01,2011.0,909.0,326361.0,american reunion - photo booth montage,216.0
ghost rider: spirit of vengeance,71676.0,2011-12-10,2011.0,2011-12-15,2011.0,8263.0,1492568.0,ghost rider: spirit of vengeance 3d - official trailer - in theaters 2/17/12,-5.0
resident evil: retribution,71679.0,2012-09-12,2012.0,2012-06-14,2012.0,25832.0,6894897.0,resident evil: retribution (3d) - official trailer - in theaters 9/14,90.0
the odd life of timothy green,71864.0,2012-08-15,2012.0,2011-08-09,2011.0,7150.0,2972812.0,the odd life of timothy green trailer,372.0
jack and jill,71880.0,2011-11-11,2011.0,2011-07-08,2011.0,546.0,183483.0,jack and jill - official trailer - in theaters 11/11!,126.0
ted,72105.0,2012-06-29,2012.0,2012-09-19,2012.0,33613.0,7561849.0,the hobbit: an unexpected journey - official trailer 2 [hd],-82.0
world war z,72190.0,2013-06-20,2013.0,2013-06-17,2013.0,788.0,968757.0,official extended world war z clip,3.0
the five-year engagement,72207.0,2012-04-27,2012.0,2011-12-09,2011.0,862.0,408907.0,the five-year engagement - trailer,140.0
abraham lincoln: vampire hunter,72331.0,2012-06-20,2012.0,2012-03-26,2012.0,1932.0,697834.0,abraham lincoln: vampire hunter | official trailer | 20th century fox,86.0
chimpanzee,72334.0,2012-04-20,2012.0,2011-11-23,2011.0,2059.0,707083.0,chimpanzee official trailer,149.0
a thousand words,72358.0,2012-03-07,2012.0,2012-02-28,2012.0,136.0,909689.0,a thousand words tv spot: million,8.0
safe,72387.0,2012-04-16,2012.0,2011-11-11,2011.0,10006.0,6450100.0,safe (2012) - official trailer #1,157.0
red tails,72431.0,2012-01-19,2012.0,2012-05-14,2012.0,18.0,3618.0,"red tails: ""feel good"" (tv spot) | 20th century fox",-116.0
journey 2: the mysterious island,72545.0,2012-01-19,2012.0,2012-02-10,2012.0,50631.0,8499096.0,"journey 2: the mysterious island - ""nautilus clip""",-22.0
g.i. joe: retaliation,72559.0,2013-03-27,2013.0,2012-12-13,2012.0,44.0,13489.0,g.i. joe: retaliation - official trailer,104.0
the vow,72570.0,2012-02-05,2012.0,2011-11-14,2011.0,34122.0,6142108.0,the vow - official trailer - in theaters valentine's day 2012,83.0
lincoln,72976.0,2012-11-09,2012.0,2011-01-16,2011.0,5263.0,4203529.0,the lincoln lawyer (2011) - official trailer #1,663.0
the lorax,73723.0,2012-03-01,2012.0,2011-12-08,2011.0,2020.0,1042119.0,dr. seuss' the lorax - theatrical trailer,84.0
oblivion,75612.0,2013-04-10,2013.0,2013-03-01,2013.0,2939.0,602993.0,oblivion - theatrical trailer,40.0
jack reacher,75780.0,2012-12-20,2012.0,2012-10-18,2012.0,1289.0,536646.0,jack reacher official movie trailer 2,63.0
the expendables 2,76163.0,2012-08-08,2012.0,2012-05-03,2012.0,9238.0,5586965.0,the expendables 2 (2012) - official trailer #1,97.0
the wolverine,76170.0,2013-07-23,2013.0,2013-03-28,2013.0,1571.0,494985.0,the wolverine | official trailer 1 [hd] | 20th century fox,117.0
percy jackson: sea of monsters,76285.0,2013-08-07,2013.0,2013-04-02,2013.0,1223.0,311513.0,percy jackson: sea of monsters | official trailer 1 [hd] | 20th century fox,127.0
mad max: fury road,76341.0,2015-05-13,2015.0,2015-03-31,2015.0,155853.0,36044874.0,mad max: fury road - official main trailer [hd],43.0
the devil inside,76487.0,2012-01-06,2012.0,2011-10-28,2011.0,6791.0,5163288.0,the devil inside- official trailer,70.0
the three stooges,76489.0,2012-04-13,2012.0,2012-04-02,2012.0,335.0,98991.0,the three stooges | angels from heaven clip | 20th century fox,11.0
hotel transylvania,76492.0,2012-09-20,2012.0,2012-06-21,2012.0,16767.0,5382123.0,hotel transylvania (3d) - official trailer - in theaters 9/28,91.0
what to expect when you're expecting,76494.0,2012-05-17,2012.0,2012-04-13,2012.0,345.0,2747911.0,what to expect when you're expecting (2012) -  official trailer #3,34.0
avatar: the way of water,76600.0,2022-12-14,2022.0,2022-11-21,2022.0,780.0,16867.0,avatar: the way of water | tune in,23.0
texas chainsaw 3d,76617.0,2013-01-03,2013.0,2012-09-14,2012.0,4638.0,2376307.0,texas chainsaw 3d (2013) - official trailer,111.0
pompeii,76649.0,2014-02-18,2014.0,2013-12-04,2013.0,28898.0,11054017.0,pompeii - official trailer,76.0
chronicle,76726.0,2012-02-01,2012.0,2012-05-02,2012.0,3457.0,352724.0,chronicle trailer | 20th century fox,-91.0
jupiter ascending,76757.0,2015-02-04,2015.0,2014-06-27,2014.0,7625.0,3979389.0,jupiter ascending - official trailer 2 [hd],222.0
sunny,77117.0,2011-05-04,2011.0,2010-05-20,2010.0,1423.0,2873639.0,"toy story 3: ""look on the sunnyside"" online featurette",349.0
contraband,77866.0,2012-01-12,2012.0,2011-09-30,2011.0,2056.0,1202065.0,contraband - trailer,104.0
the lucky one,77877.0,2012-04-19,2012.0,2011-12-08,2011.0,3266.0,1179758.0,the lucky one - trailer 1 (hd),133.0
the possession,77883.0,2012-08-30,2012.0,2012-08-23,2012.0,430.0,2863172.0,the possession (2012) - official trailer #2,7.0
magic mike,77930.0,2012-06-28,2012.0,2012-04-21,2012.0,8642.0,5349680.0,magic mike - official trailer [hd],68.0
the smurfs 2,77931.0,2013-07-30,2013.0,2013-07-18,2013.0,297.0,1318103.0,the smurfs 2 - time to choose,12.0
turbo,77950.0,2013-07-11,2013.0,2013-03-21,2013.0,1321.0,447945.0,turbo | full trailer [hd] | 20th century fox,112.0
the campaign,77953.0,2012-08-09,2012.0,2012-05-12,2012.0,928.0,253914.0,the campaign - official trailer 1 [hd],89.0
big miracle,78698.0,2012-02-02,2012.0,2011-09-23,2011.0,603.0,309149.0,big miracle - trailer,132.0
weekend,79120.0,2011-09-22,2011.0,2010-02-01,2010.0,49.0,39763.0,"this weekend, is it football, or is it john?",598.0
devil's due,79316.0,2014-01-08,2014.0,2013-12-06,2013.0,430.0,184605.0,devil's due | official theatrical trailer #2 (2014) [hd] | 20th century fox,33.0
the apparition,79694.0,2012-08-23,2012.0,2012-05-24,2012.0,790.0,312619.0,the apparition - official trailer 1 [hd],91.0
the watch,80035.0,2012-07-26,2012.0,2012-07-11,2012.0,1910.0,368097.0,the watch | official trailer | 20th century fox,15.0
rock of ages,80585.0,2012-06-13,2012.0,2012-04-03,2012.0,5979.0,3196015.0,rock of ages - official trailer 2 (hd),71.0
jack the giant slayer,81005.0,2013-02-27,2013.0,2012-11-22,2012.0,2405.0,1175278.0,jack the giant slayer - official trailer [hd],97.0
savages,82525.0,2012-07-06,2012.0,2012-04-06,2012.0,532.0,178655.0,savages - trailer,91.0
taken 2,82675.0,2012-09-27,2012.0,2012-08-30,2012.0,571.0,237155.0,taken 2 | official trailer | 20th century fox,28.0
fun size,82679.0,2012-10-24,2012.0,2012-10-12,2012.0,52.0,584749.0,official fun size movie tv spot: can you handle,12.0
gangster squad,82682.0,2013-01-10,2013.0,2012-10-12,2012.0,8315.0,1832948.0,gangster squad - official trailer [hd],90.0
the guilt trip,82687.0,2012-12-19,2012.0,2012-11-06,2012.0,256.0,1269031.0,the guilt trip official movie trailer,43.0
les misérables,82695.0,2012-12-18,2012.0,2012-12-26,2012.0,634.0,149831.0,"les misérables - ""on my own"" trailer",-8.0
hope springs,82696.0,2012-08-07,2012.0,2012-04-26,2012.0,2504.0,1605573.0,hope springs - official trailer - in theaters 8/8,103.0
after earth,82700.0,2013-05-30,2013.0,2013-03-09,2013.0,2287.0,1517436.0,after earth - official trailer - in theaters 5/31,82.0
how to train your dragon 2,82702.0,2014-06-05,2014.0,2013-07-30,2013.0,2306.0,386780.0,how to train your dragon 2 | official teaser [hd] | 20th century fox,310.0
fast & furious 6,82992.0,2013-05-21,2013.0,2013-02-04,2013.0,4233.0,961244.0,fast & furious 6 - big game spot,106.0
cloud atlas,83542.0,2012-10-26,2012.0,2012-09-07,2012.0,11997.0,4199226.0,cloud atlas - official trailer [hd],49.0
noah,86834.0,2014-03-07,2014.0,2014-01-30,2014.0,1071.0,1431689.0,noah movie official big game spot,36.0
terminator genisys,87101.0,2015-06-23,2015.0,2015-07-01,2015.0,137.0,41116.0,terminator genisys - now playing,-8.0
riddick,87421.0,2013-09-02,2013.0,2013-06-20,2013.0,1846.0,625461.0,riddick - trailer,74.0
that's my boy,87428.0,2012-06-14,2012.0,2012-03-01,2012.0,3733.0,1480446.0,that's my boy - raunch-tastic rated r trailer,105.0
flight,87502.0,2012-11-02,2012.0,2012-06-07,2012.0,2098.0,799581.0,flight movie official trailer,148.0
the big wedding,87567.0,2013-04-25,2013.0,2013-03-28,2013.0,251.0,1651627.0,the big wedding (2013) - official trailer #3,28.0
trouble with the curve,87825.0,2012-09-21,2012.0,2012-08-08,2012.0,14523.0,3899023.0,trouble with the curve - official trailer #1 [hd],44.0
here comes the boom,87826.0,2012-10-11,2012.0,2012-06-26,2012.0,11585.0,5241191.0,here comes the boom - official trailer - in theaters 10/12,107.0
life of pi,87827.0,2012-11-20,2012.0,2012-11-16,2012.0,17984.0,3922124.0,life of pi | flying fish | 20th century fox,4.0
sparkle,88036.0,2012-08-17,2012.0,2012-04-02,2012.0,3631.0,968156.0,sparkle - official trailer - in theaters 8/17,137.0
parental guidance,88042.0,2012-12-25,2012.0,2012-12-13,2012.0,566.0,166107.0,parental guidance | official trailer 2 | 20th century fox,12.0
j. edgar,88794.0,2011-11-09,2011.0,2011-09-20,2011.0,784.0,322381.0,j. edgar trailer,50.0
this is 40,89492.0,2012-12-20,2012.0,2012-04-28,2012.0,378.0,200049.0,this is 40 - trailer,236.0
punch,91078.0,2011-10-20,2011.0,2011-04-01,2011.0,16572.0,2405691.0,sucker punch -  soundtrack sweet dreams,202.0
insidious: chapter 2,91586.0,2013-09-12,2013.0,2013-12-07,2013.0,219.0,169037.0,"insidious: chapter 2 ""scare bite""",-86.0
despicable me 2,93456.0,2013-06-26,2013.0,2013-05-14,2013.0,70515.0,19907488.0,despicable me 2 - trailer 2,43.0
chernobyl diaries,93856.0,2012-05-24,2012.0,2012-05-16,2012.0,537.0,839112.0,"chernobyl diaries - ""someone has to know we're out here"" clip",8.0
bridget jones's baby,95610.0,2016-09-14,2016.0,2016-06-28,2016.0,10220.0,6566422.0,bridget jones's baby - official trailer (hd),78.0
rush,96721.0,2013-09-02,2013.0,2012-06-01,2012.0,1112.0,2355303.0,premium rush - official trailer - in theaters august 24th,458.0
robocop,97020.0,2014-01-30,2014.0,2013-11-07,2013.0,10446.0,3401465.0,robocop  - official trailer #2 - in theaters 2/12/14,84.0
the man with the iron fists,97430.0,2012-11-02,2012.0,2012-07-27,2012.0,1637.0,265244.0,the man with the iron fists - trailer (hd),98.0
zero dark thirty,97630.0,2012-12-19,2012.0,2012-10-12,2012.0,15841.0,4082754.0,zero dark thirty - official us trailer - in theaters 12/19,68.0
broken city,98357.0,2013-01-18,2013.0,2012-10-25,2012.0,744.0,231739.0,broken city | official trailer | 20th century fox,85.0
avengers: age of ultron,99861.0,2015-04-22,2015.0,2015-04-28,2015.0,13306.0,3512408.0,inside out emotional reaction to avengers: age of ultron trailer,-6.0
dumb and dumber to,100042.0,2014-11-12,2014.0,2014-09-25,2014.0,2230.0,3619855.0,dumb and dumber to - tv spot 1 (hd),48.0
"i, frankenstein",100241.0,2014-01-22,2014.0,2013-10-05,2013.0,10163.0,3313763.0,"i, frankenstein (2014) - official trailer",109.0
katy perry: part of me,101267.0,2012-06-28,2012.0,2012-06-04,2012.0,330.0,1753095.0,"katy perry: part of me official tv spot ""see everything""",24.0
the hunger games: catching fire,101299.0,2013-11-15,2013.0,2013-11-16,2013.0,694.0,170545.0,the hunger games: catching fire (2013) - official trailer #1,-1.0
the amazing spider-man 2,102382.0,2014-04-16,2014.0,2013-12-05,2013.0,252355.0,41345692.0,the amazing spider-man 2 - official trailer (hd),132.0
maleficent,102651.0,2014-05-28,2014.0,2014-03-18,2014.0,64158.0,21066490.0,disney's maleficent - official trailer 3,71.0
madea's witness protection,103370.0,2012-06-29,2012.0,2012-05-17,2012.0,2711.0,1380631.0,tyler perry's madea's witness protection (2012) - official trailer #2,43.0
the hunt,103663.0,2012-10-25,2012.0,2011-11-14,2011.0,558.0,105566.0,snow white and the huntsman - teaser trailer,346.0
iceman,105001.0,2014-04-17,2014.0,2014-09-16,2014.0,443.0,141409.0,iceman | official trailer [hd] | netflix,-152.0
the good dinosaur,105864.0,2015-11-14,2015.0,2015-07-21,2015.0,54353.0,21591236.0,the good dinosaur - official us trailer,116.0
the wolf of wall street,106646.0,2013-12-25,2013.0,2013-06-17,2013.0,173044.0,29902733.0,the wolf of wall street official trailer,191.0
the counselor,109091.0,2013-10-25,2013.0,2013-07-30,2013.0,178.0,86630.0,the counselor | official trailer [hd] | 20th century fox,87.0
42,109410.0,2013-04-12,2013.0,2012-09-21,2012.0,2221.0,536586.0,42 - official trailer 1 [hd],203.0
this is the end,109414.0,2013-06-12,2013.0,2013-04-03,2013.0,19492.0,2647320.0,this is the end - official redband trailer - in theaters 6/12,70.0
battle of the year,109417.0,2013-09-21,2013.0,2013-05-09,2013.0,1035.0,2059372.0,battle of the year (3d) - official trailer - in theaters 9/20,135.0
grown ups 2,109418.0,2013-07-11,2013.0,2013-04-03,2013.0,7097.0,8768266.0,grown ups 2 - official trailer,99.0
captain phillips,109424.0,2013-10-10,2013.0,2013-05-14,2013.0,18478.0,3588931.0,captain phillips - official international trailer,149.0
evil dead,109428.0,2013-04-05,2013.0,2012-10-25,2012.0,2980.0,451065.0,evil dead - international teaser trailer,162.0
identity thief,109431.0,2013-02-07,2013.0,2012-09-27,2012.0,382.0,117261.0,identity thief - trailer,133.0
the hangover part iii,109439.0,2013-05-23,2013.0,2013-03-07,2013.0,76517.0,29806054.0,the hangover part iii - official teaser trailer [hd],77.0
frozen,109445.0,2013-11-20,2013.0,2013-10-11,2013.0,5023.0,2470132.0,disney's frozen official trailer,40.0
cloudy with a chance of meatballs 2,109451.0,2013-09-26,2013.0,2013-07-02,2013.0,4032.0,1345034.0,cloudy with a chance of meatballs 2 - official trailer #2 - in theaters 9/27,86.0
beautiful creatures,109491.0,2013-02-13,2013.0,2013-01-18,2013.0,2662.0,443328.0,beautiful creatures - official trailer 1 [hd],26.0
the family,112205.0,2013-09-13,2013.0,2012-10-22,2012.0,77.0,3797.0,nycc 2012: 5.2 questions on death of the family,326.0
pitch perfect,114150.0,2012-09-28,2012.0,2012-06-15,2012.0,636.0,212615.0,pitch perfect - trailer (hd),105.0
epic,116711.0,2013-05-15,2013.0,2012-07-13,2012.0,795.0,149952.0,epic | teaser trailer | 20th century fox,306.0
the internship,116741.0,2013-06-07,2013.0,2013-02-14,2013.0,1050.0,252413.0,the internship | official trailer 1 [hd] | 20th century fox,113.0
white house down,117251.0,2013-06-27,2013.0,2013-05-03,2013.0,10738.0,9232077.0,white house down - official trailer,55.0
olympus has fallen,117263.0,2013-03-20,2013.0,2013-07-17,2013.0,882.0,1097822.0,olympus has fallen - on blu-ray™ & digital download,-119.0
